"Antenna Algorithm Name","Technology","Direction","Channel Model","Signal to Interference Ratio (dB)","2x2 (%)","4x4 (%)","8x8 (%)","3x3 (%)"
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","12","55","126.87","209.4",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","90","93.31","273.24","619.73",""
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","100","93.98","275.92","627.75",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","-10","2.38","3.63","4.27",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","-5","6.85","10.77","12.87",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","0","16.99","28.77","35.94",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","2","22.9","40.58","52.26",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","4","29.53","55.18","73.91",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","6","36.45","72.09","101.23",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","8","43.2","90.39","133.86",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","10","49.44","108.98","170.55",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","12","55","126.87","209.4",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","14","59.81","143.37","248.34",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","16","63.93","158.14","285.62",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","18","67.42","171.11","320.07",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","20","70.39","182.38","351.16",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","25","76.04","204.38","414.2",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","30","79.96","219.91","460.02",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","40","84.95","239.81","519.44",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","50","87.96","251.84","555.51",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","60","89.97","259.86","579.59",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","70","91.4","265.6","596.79",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","80","92.47","269.9","609.69",""
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","90","93.31","273.24","619.73",""
